Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E06000018,Nottingham,East Midlands,194765,15071,27835,76165,9796,194765,17317,27092,17441,7857,3604,1342,761,2717,32915,17821,32915,2760,810,15217,1496,553,50069,5931,3565,13748,1803,194765,32915,25.5
E07000219,Nuneaton and Bedworth,West Midlands,71083,5095,11966,40460,5593,71083,7434,10113,8664,8173,3943,1078,540,788,14461,7921,14461,20,372,1472,350,253,36655,3592,1096,4352,491,71083,14461,22.9
E07000135,Oadby and Wigston,East Midlands,31756,2593,5446,15716,2234,31756,2713,4057,5103,1491,688,406,357,385,7477,3312,7477,24,95,774,145,96,14012,1042,493,1584,244,31756,7477,28.8
E08000004,Oldham,North West,143882,9088,22246,59308,7564,143882,13138,17675,15256,9876,2317,1169,867,944,20903,16063,20903,2478,466,4566,1876,252,51845,5769,753,7975,1324,143882,20903,21.3
E07000178,Oxford,South East,88714,8857,12717,43899,7853,88714,12938,14198,4222,3184,923,920,581,1357,28427,6578,28427,77,523,6493,417,375,17163,1778,7724,9697,650,88714,28427,38.8
W06000009,Pembrokeshire,Wales,70595,5952,12319,26956,7538,70595,6915,4566,6074,7790,2742,1116,962,1482,12179,8939,12179,30,145,542,200,183,32274,2326,333,4001,553,70595,12179,23.1
E07000122,Pendle,North West,56134,3909,8893,23657,3164,56134,7013,5656,5008,4699,1723,860,549,344,7461,6310,7461,19,174,1151,911,105,22486,2282,335,4296,403,56134,7461,18.8
E06000031,Peterborough,East of England,114705,8768,19404,62866,9930,114705,13340,19954,13349,4409,5347,1817,1788,2265,24747,13953,24747,86,975,3644,2289,421,48971,7145,3823,7664,1203,114705,24747,24.5
E06000026,Plymouth,South West,143677,11999,26127,71595,11297,143677,17167,27786,21082,4302,1004,1036,1761,2696,25656,18531,25656,44,371,7672,1201,1582,61976,6220,2554,12221,1520,143677,25656,21.2
E06000044,Portsmouth,South East,110216,10778,19757,57812,9440,110216,16450,16986,11347,4494,3760,1076,730,1861,24315,16768,24315,63,1894,4968,1291,807,40707,4854,5128,12424,1336,110216,24315,24.9
W06000023,Powys,Wales,71443,6445,13463,31754,10064,71443,8048,3139,4012,6316,4010,2075,2288,2993,18698,10147,18698,20,147,297,87,154,33599,1961,536,5669,557,71443,18698,30.3
E07000123,Preston,North West,81204,6930,14263,40027,5414,81204,9913,13642,7130,5440,2590,928,881,706,16614,8790,16614,31,598,4224,748,235,32080,3899,1156,6403,646,81204,16614,24.9
E06000038,Reading,South East,85358,8681,13984,57921,8277,85358,12647,13238,5772,4577,3044,1098,1475,1228,34950,10836,34950,141,2412,6584,318,349,27914,2905,2361,10088,844,85358,34950,39.3
E09000026,Redbridge,London,168633,16639,28204,81723,15062,168633,9479,12953,16676,20959,4293,1421,704,1265,49406,24471,49406,20627,8539,8172,850,638,40221,2978,1566,6768,1862,168633,49406,34.9
E06000003,Redcar and Cleveland,North East,80910,5232,12768,31940,5681,80910,5697,6555,9153,9990,1906,1002,814,1251,10019,9234,10019,19,556,1592,758,126,33885,3032,632,4096,907,80910,10019,18.0
E07000236,Redditch,West Midlands,44342,3675,7887,27280,3850,44342,5918,9211,3061,4364,2892,528,252,416,9872,6180,9872,17,248,1333,478,134,24498,2477,594,2673,370,44342,9872,23.1
E07000211,Reigate and Banstead,South East,75719,8043,13015,44451,9618,75719,6330,7160,7217,6751,3154,1704,614,400,31589,10208,31589,225,2933,1664,382,396,29864,1940,733,4695,706,75719,31589,42.0
W06000016,Rhondda Cynon Taf,Wales,134262,7846,20990,65567,8986,134262,9001,10601,14476,18360,7519,2379,827,1468,22563,16195,22563,38,1906,2752,246,283,62494,6183,402,5742,781,134262,22563,21.8
