Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E07000223,Adur,South East,34719,3437,6764,16875,2749,34719,3313,3396,3961,2516,747,525,223,343,9266,5533,9266,15,839,925,70,234,14254,1079,892,1938,313,34719,9266,31.1
E07000026,Allerdale,North West,51919,4483,9575,25309,4868,51919,5985,3411,3677,5773,4863,1675,1354,646,10757,6095,10757,17,196,992,92,129,24859,2036,407,4328,422,51919,10757,24.3
E07000032,Amber Valley,East Midlands,66035,5916,11784,36026,6445,66035,6638,6676,8061,10542,2649,636,479,770,15225,8494,15225,27,201,1458,153,313,35212,2430,543,4180,429,66035,15225,25.3
E07000224,Arun,South East,91698,9099,15675,40561,7856,91698,8933,7825,11074,8047,2805,1256,1229,1252,18060,12710,18060,52,1270,1264,216,380,39949,3823,2014,5342,820,91698,18060,24.7
E07000170,Ashfield,East Midlands,67870,4786,11451,36725,5468,67870,7139,9309,9679,7595,2454,785,492,787,11460,8731,11460,545,258,1724,419,275,35311,3005,841,4070,524,67870,11460,19.6
E07000105,Ashford,South East,69132,6754,11838,36702,8321,69132,7209,9105,3845,5100,3927,1822,981,2081,19120,10425,19120,83,1575,1177,152,221,32389,2552,1186,4533,626,69132,19120,30.1
E07000200,Babergh,Eastern,49384,5421,8912,23369,5255,49384,4413,2815,3658,5859,3079,1103,677,893,13171,7289,13171,32,347,282,73,184,23542,1407,499,3055,368,49384,13171,30.7
E09000002,Barking and Dagenham,London,124280,10801,20086,55490,8211,124280,6478,11954,11182,16820,4677,1056,594,1032,19572,21224,19572,15301,8660,9690,542,599,30732,2392,1218,4464,1416,124280,19572,20.7
E09000003,Barnet,London,203170,23760,35920,101785,24710,203170,12676,15501,23510,22122,2294,795,619,1162,79628,27869,79628,20758,4690,15090,872,1197,46797,3169,2162,9361,2451,203170,79628,42.8
E08000016,Barnsley,Yorkshire and The Humber,132892,9142,22850,68527,11161,132892,11844,15670,17395,16906,5746,1353,714,1291,22340,18422,22340,37,904,4733,699,432,66305,6962,738,7575,956,132892,22340,20.0
E07000027,Barrow-in-Furness,North West,36224,2666,6593,19866,2058,36224,8054,7550,3033,1341,382,655,202,442,6051,3475,6051,5,250,937,387,366,15685,1755,1030,4403,313,36224,6051,19.4
E07000066,Basildon,East of England,98560,9070,15966,53719,10256,98560,8912,9992,8179,8729,3633,3501,2303,703,27225,15835,27225,707,4967,1846,802,386,41731,3818,1057,5498,976,98560,27225,30.6
E07000084,Basingstoke and Deane,South East,88181,8743,15390,62171,10669,88181,10872,11058,6910,8173,4614,1616,1927,1681,38057,12065,38057,58,1396,2156,367,358,41928,3447,1394,7036,776,88181,38057,39.2
E07000171,Bassetlaw,East Midlands,62889,5143,11315,32043,6416,62889,7640,6616,5211,8441,4629,1743,1051,956,10741,7890,10741,25,268,694,170,240,33983,3148,1035,4144,468,62889,10741,19.6
E06000022,Bath and North East Somerset,South West,103597,12067,18817,49585,9343,103597,11461,9827,6889,10850,2385,480,600,1154,34611,11555,34611,62,629,3063,235,522,35753,2637,1713,9848,742,103597,34611,38.5
E06000055,Bedford,East of England,94360,8812,16011,55968,10074,94360,10705,13721,6940,8223,5287,1577,1312,2195,28568,12336,28568,106,1352,1782,1102,356,42890,4403,2529,6935,842,94360,28568,31.4
E09000004,Bexley,London,128489,11593,20988,73640,11764,128489,7959,13246,13754,15404,4488,1014,591,835,40692,20001,40692,2838,12164,7763,688,767,42503,2919,995,5258,1396,128489,40692,34.5
E08000025,Birmingham,West Midlands,702501,49418,96764,261443,34793,702501,44638,72746,77482,43586,11183,4907,3655,7021,114058,63142,114058,977,9220,43123,6673,1118,202963,21557,5741,31483,5505,702501,114058,25.8
E07000129,Blaby,East Midlands,51480,4611,9952,31671,5212,51480,3569,6593,8760,5410,1665,816,769,535,15526,7803,15526,23,134,998,196,185,28981,1968,881,2181,373,51480,15526,30.2
E06000008,Blackburn with Darwen,North West,91181,5863,14711,38715,4268,91181,11599,12471,6232,7746,2238,1191,475,551,12388,8667,12388,32,522,1568,2120,196,35313,4279,445,6018,677,91181,12388,19.5
E06000009,Blackpool,North West,81674,6223,13422,34638,5079,81674,11208,13447,6795,2456,1705,539,497,828,12013,9874,12013,262,321,3381,948,333,29376,3481,1375,7004,868,81674,12013,20.2
W06000019,Blaenau Gwent,Wales,38105,1946,5641,18817,2395,38105,3488,4271,3603,5359,2106,852,618,437,4036,4030,4036,8,137,437,142,113,19735,2129,118,1746,198,38105,4036,14.0
E07000033,Bolsover,East Midlands,42173,3137,7497,23380,4086,42173,4217,3700,6307,6866,2310,941,590,584,6884,5701,6884,17,135,865,195,193,24349,2161,250,2714,337,42173,6884,18.1
E08000001,Bolton,North West,170525,11725,27750,75764,10199,170525,15111,20309,17711,14225,5699,1002,593,1106,29568,20113,29568,181,1618,4778,2583,425,67803,6830,1057,9226,1370,170525,29568,23.6
E07000136,Boston,East Midlands,36871,2729,6652,19918,4332,36871,6152,4610,3463,4954,3263,717,907,647,3558,5360,3558,27,77,522,166,143,20491,4154,1408,2748,337,36871,3558,10.6
E06000058,"Bournemouth, Christchurch and Poole",South West,214164,21877,38598,107607,17950,214164,23231,33408,24931,11865,1925,2079,2012,2659,55150,28772,55150,133,1030,8312,574,1492,89083,6898,5984,15391,1985,214164,55150,29.6
E06000036,Bracknell Forest,South East,58210,5918,10654,42029,7796,58210,5819,6347,6070,7146,2908,875,848,518,26512,9358,26512,68,976,733,242,287,30194,2160,912,3755,557,58210,26512,39.9
E08000032,Bradford,Yorkshire and The Humber,325274,21924,52883,129284,17046,325274,28842,38445,30777,24935,5737,1476,1581,1952,55396,31998,55396,131,4160,10377,5915,527,109677,12631,1525,18230,2568,325274,55396,25.1
E07000067,Braintree,East of England,78984,8594,14371,43700,9619,78984,7697,4934,5478,10634,5481,2302,2764,1500,21933,13561,21933,137,1698,847,224,295,41638,2798,792,5241,682,78984,21933,28.8
E07000143,Breckland,Eastern,75838,7119,12862,36910,8747,75838,8792,3994,4348,10063,6965,2911,1780,1281,14404,11100,14404,23,214,732,171,313,39172,3136,1188,5575,711,75838,14404,21.9
E09000005,Brent,London,178819,18564,30956,93506,17971,178819,13873,23212,23900,16535,2057,623,566,1478,48987,29763,48987,24200,8267,21439,886,1801,34917,3220,4074,11000,2206,178819,48987,30.4
E07000068,Brentwood,East of England,39146,4223,6165,21744,5771,39146,2458,2017,2615,4102,2386,1644,302,259,16784,5335,16784,539,2471,370,178,131,14189,867,178,1815,379,39146,16784,44.3
W06000013,Bridgend,Wales,81504,5055,12787,40185,5957,81504,7612,7547,7999,8991,4823,2252,626,941,14375,8819,14375,24,655,939,355,225,39608,3131,380,3776,516,81504,14375,22.5
E06000043,Brighton and Hove,South East,137812,18422,28832,79077,12960,137812,19822,19503,7872,6569,2111,1988,908,2807,59495,18218,59495,158,3539,9946,539,931,34893,3085,5282,19855,1567,137812,59495,42.7
E06000023,Bristol,South West,233955,24727,46279,147056,20448,233955,30808,42525,25277,11434,1827,1514,1730,2561,92026,28808,92026,115,1650,14617,999,1545,78915,7329,12466,26730,2120,233955,92026,38.6
E07000144,Broadland,Eastern,69132,7120,13671,35015,6783,69132,4389,6771,9343,8164,2512,921,517,771,18934,10267,18934,30,164,1220,165,394,34889,1961,1422,2716,695,69132,18934,30.3
E09000006,Bromley,London,167869,16708,27359,97180,20875,167869,9359,13633,15786,19654,4464,1046,495,841,75511,21333,75511,3146,15214,8069,593,966,45304,2852,1784,7029,1654,167869,75511,46.6
E07000234,Bromsgrove,West Midlands,51896,4780,9234,27520,5753,51896,3416,3415,5325,8348,2402,668,367,515,16436,6395,16436,23,647,370,180,119,25194,1505,287,2178,348,51896,16436,34.8
E07000095,Broxbourne,East of England,50701,5104,9143,28778,5281,50701,4519,4051,5772,6216,3297,649,329,251,14218,9004,14218,977,2608,997,314,234,23586,1613,518,2686,554,50701,14218,29.4
E07000172,Broxtowe,East Midlands,59024,4985,10317,31844,4768,59024,4631,7023,8234,5545,1078,549,317,755,17302,6482,17302,725,244,1993,176,211,24367,1755,1341,3378,426,59024,17302,33.3
E06000060,Buckinghamshire,South East,279842,30598,47499,157932,37207,279842,22831,20522,20961,25735,15610,8216,7128,2716,112181,37336,112181,1917,4044,3830,1635,892,119924,8242,2218,15888,2465,279842,112181,41.1
E07000117,Burnley,North West,54612,3348,8506,25374,2806,54612,7291,7492,5092,4692,1298,900,359,324,6738,5850,6738,16,193,1631,1143,112,22418,2568,403,4434,376,54612,6738,16.8
E08000002,Bury,North West,105369,8126,18005,54514,7838,105369,9801,11859,13467,10454,2261,618,580,737,26579,12127,26579,2163,250,2864,1156,236,43946,3575,928,5907,879,105369,26579,30.0
W06000018,Caerphilly,Wales,98513,5540,15112,50176,6610,98513,7881,8955,11158,13894,3622,854,777,890,18473,10933,18473,17,1190,1680,360,288,46223,4229,394,4038,547,98513,18473,23.9
E08000033,Calderdale,Yorkshire and The Humber,113250,9199,19957,55532,8693,113250,11434,13584,12785,9424,3282,1098,592,803,27280,13099,27280,49,1158,3740,1110,286,46448,4332,665,7430,887,113250,27280,29.2
E07000008,Cambridge,East of England,75076,7812,10913,43695,8179,75076,10723,12729,3283,2145,1157,542,1179,1298,32113,5429,32113,85,806,2515,423,373,13485,1530,11836,6858,572,75076,32113,45.5
E09000007,Camden,London,107625,11879,15126,55453,20053,107625,9572,11530,9350,2928,562,192,247,593,58110,9429,58110,10351,2852,6532,733,546,7074,510,3993,10620,1190,107625,58110,56.7
E07000192,Cannock Chase,West Midlands,51642,4216,9390,29813,5458,51642,5534,6005,5248,8416,3239,1069,474,517,9529,8846,9529,7,421,591,266,220,31258,2737,432,3035,381,51642,9529,19.5
E07000106,Canterbury,South East,91265,9225,13838,35357,7744,91265,8881,5781,7221,5817,3654,1238,1114,2154,20109,10193,20109,105,1537,1906,210,259,30603,2493,1105,7145,693,91265,20109,30.4
W06000015,Cardiff,Wales,201869,17027,32351,97640,13420,201869,19755,26481,19571,8995,3865,1831,1643,2220,57855,18223,57855,101,1962,7568,1018,453,64333,5581,4664,15381,1523,201869,57855,36.1
E07000028,Carlisle,North West,57074,5211,11750,29990,5999,57074,10225,11049,5106,3934,1684,915,883,1208,10187,7759,10187,19,195,1791,200,146,29906,2449,1188,6347,521,57074,10187,19.2
W06000010,Carmarthenshire,Wales,105946,7197,17581,46871,10302,105946,9864,7382,6726,13855,6504,2072,1824,2140,19243,12341,19243,39,361,879,304,241,50785,3790,463,5138,706,105946,19243,23.5
E07000069,Castle Point,Eastern,48581,4575,8095,23564,4772,48581,3558,3758,5436,3174,1929,894,1699,328,11672,8558,11672,122,1839,808,165,203,21646,1536,422,2142,455,48581,11672,28.5
E06000056,Central Bedfordshire,East of England,143175,14636,25790,92934,17718,143175,13038,10108,12142,19692,9078,4511,4655,2345,52153,23355,52153,205,3042,1560,373,470,76820,4976,1505,8754,1219,143175,52153,34.5
W06000008,Ceredigion,Wales,41356,3722,6734,15454,4210,41356,4011,1842,2670,2565,1549,992,992,1165,9524,4809,9524,21,65,394,91,102,15398,1000,269,3007,251,41356,9524,31.6
E07000130,Charnwood,East Midlands,99172,8944,16641,50718,8496,99172,9411,9467,11568,11684,2974,1066,933,1221,25638,10838,25638,57,408,1975,234,307,44097,3163,1940,6274,707,99172,25638,30.2
E07000070,Chelmsford,East of England,91661,9697,16139,52813,11213,91661,8886,9928,5629,7955,4002,2330,3049,715,34522,12845,34522,256,2911,2034,204,341,38282,2574,1725,6231,783,91661,34522,38.4
E07000078,Cheltenham,South West,59679,6458,11696,35580,5423,59679,10013,8993,3363,3833,1626,667,761,943,21711,7246,21711,25,249,1717,118,235,22959,1980,2372,7320,472,59679,21711,36.7
E07000177,Cherwell,South East,76044,7825,14807,52841,9499,76044,12865,8561,5691,8658,5510,2539,1460,1593,27343,10752,27343,41,1027,1887,437,345,39508,3353,2156,8135,737,76044,27343,32.2
E06000049,Cheshire East,North West,206285,19795,35764,114307,22621,206285,22189,18936,18057,23236,9793,4943,2766,2257,67827,22483,67827,98,1630,1328,931,663,93442,7454,3537,13950,1627,206285,67827,35.2
E06000050,Cheshire West and Chester,North West,188062,17164,32873,101055,17996,188062,18552,18110,18546,20348,11155,4243,2421,2141,53184,20388,53184,90,1291,2913,988,669,85824,6624,3399,12543,1562,188062,53184,31.5
E07000034,Chesterfield,East Midlands,56037,4599,10380,28101,4452,56037,6470,8903,5350,5687,1321,956,520,584,10772,6970,10772,19,284,1962,614,204,26580,2439,455,3817,388,56037,10772,22.7
E07000225,Chichester,South East,67702,7926,11612,29448,7379,67702,7063,4276,4436,6003,2642,1177,1185,1196,19385,9001,19385,48,721,656,82,229,26020,1765,1549,5282,629,67702,19385,34.4
E07000118,Chorley,North West,60488,5123,10621,35318,6182,60488,5585,6679,7009,8412,2480,1481,473,524,16580,8019,16580,27,479,889,188,182,31980,2357,634,3465,464,60488,16580,29.0
E09000001,City of London,London,3232,386,499,2760,1706,3232,676,385,241,82,15,7,9,28,3602,303,3602,349,95,132,21,13,124,13,191,758,54,3232,3602,67.3
E07000071,Colchester,Eastern,100700,10351,18113,52560,10992,100700,11653,12856,7877,6132,4522,2251,1370,2917,28165,14272,28165,121,2069,2706,437,456,43618,3329,2274,8004,837,100700,28165,30.6
W06000003,Conwy,Wales,66018,4839,11209,27174,5501,66018,6033,5733,5864,5588,2875,1138,1284,1270,11381,7557,11381,28,291,1441,170,170,28296,1971,540,3895,543,66018,11381,23.4
E07000029,Copeland,North West,36506,2530,5873,19710,2457,36506,3291,3202,3735,6651,1049,359,839,526,7778,3141,7778,14,316,861,120,202,16849,1573,374,2218,266,36506,7778,25.4
E06000052,Cornwall,South West,316058,31272,59540,134022,29413,316058,33604,22542,23409,32388,13148,6075,6157,8463,62832,45627,62832,80,1275,3410,686,1925,142649,10378,2988,25022,3001,316058,62832,24.7
E07000079,Cotswold,South West,46753,5824,8364,23598,6292,46753,4705,1909,2987,4626,3126,1428,840,886,17228,6347,17228,40,157,217,41,149,20099,1377,529,3838,404,46753,17228,39.1
E06000047,County Durham,North East,299853,19900,43468,137147,21703,299853,22726,21150,26460,37877,17289,6310,2178,3280,53014,31932,53014,98,730,7478,1414,585,127527,11802,1607,15713,2252,299853,53014,23.9
E08000026,Coventry,West Midlands,195181,14424,28615,95752,11352,195181,17375,28940,20030,13613,7386,1979,1367,2320,38674,18458,38674,151,1457,10947,2261,475,70234,9844,2817,11501,1782,195181,38674,25.8
E07000163,Craven,Yorkshire and The Humber,29795,3345,5467,14333,3986,29795,3619,1414,2636,2649,1641,984,714,538,8833,4106,8833,14,287,254,63,51,13199,926,217,3061,229,29795,8833,32.6
E07000226,Crawley,South East,59592,6322,11132,36266,5179,59592,6667,10717,5672,5544,1602,1379,1536,467,15903,9411,15903,95,1756,4753,362,268,27783,2546,1070,3643,724,59592,15903,27.0
E09000008,Croydon,London,201312,20311,35258,114645,19191,201312,13941,19863,23782,24188,4639,1006,797,1175,70976,29040,70976,8146,17229,19903,884,1454,52381,3507,2422,10018,2489,201312,70976,37.5
E07000096,Dacorum,East of England,77883,8384,14010,45046,9759,77883,7714,6400,5823,7784,3398,2562,1027,484,30226,11780,30226,279,1640,1042,390,302,34277,2463,605,5279,695,77883,30226,39.2
E06000005,Darlington,North East,58503,4185,9823,30500,4788,58503,8070,9043,3522,4531,3828,524,737,850,11962,6230,11962,18,403,1405,720,122,25487,2742,966,4982,489,58503,11962,24.3
E07000107,Dartford,South East,57930,5210,9915,37138,6559,57930,5077,6882,5740,5828,5010,1190,450,458,18217,9971,18217,475,4573,1963,394,429,26492,1904,532,3262,583,57930,18217,31.0
W06000004,Denbighshire,Wales,54971,3663,9096,23419,4668,54971,5751,3772,5605,4558,3154,1670,987,863,8600,5886,8600,13,236,989,189,159,24399,2032,504,3349,376,54971,8600,21.1
E06000015,Derby,East Midlands,145163,10896,24135,72096,9074,145163,16294,24874,12138,12679,4400,1202,1369,1482,27260,14504,27260,83,537,5982,2065,547,57902,6705,2956,11079,1085,145163,27260,23.5
E07000035,Derbyshire Dales,East Midlands,38312,4380,7204,16633,5011,38312,3375,2077,2675,4481,2451,949,516,412,11376,4915,11376,16,112,316,53,93,16972,1040,302,2655,293,38312,11376,34.2
E08000017,Doncaster,Yorkshire and The Humber,170248,11361,28521,83659,14317,170248,15107,19924,22414,17756,7327,2960,2014,2135,25503,22719,25503,61,1171,6288,1563,433,79823,9293,2475,9796,1452,170248,25503,18.5
E06000059,Dorset,South West,211802,21420,36955,89075,20327,211802,20688,13127,16944,18176,8677,6296,4856,3641,47397,27975,47397,103,731,1888,373,1009,90473,5656,2973,15429,1745,211802,47397,28.2
E07000108,Dover,South East,65484,5631,10533,28511,6251,65484,6324,4147,4550,7953,3701,768,595,1357,12291,9240,12291,52,1023,1100,264,264,27830,2344,674,4462,622,65484,12291,24.1
E08000027,Dudley,West Midlands,178848,13105,29703,88508,13324,178848,15801,26910,24364,16564,3469,1130,889,1396,31434,22683,31434,126,1889,6125,1474,563,85285,7105,1263,8127,1249,178848,31434,21.7
E09000009,Ealing,London,192088,19422,31572,103442,20590,192088,14152,20953,25070,18816,2623,704,687,1218,63137,27663,63137,20319,5788,18840,761,1531,42941,3082,5026,11236,2365,192088,63137,36.1
E07000009,East Cambridgeshire,East of England,43067,4439,8120,26448,5688,43067,3450,2123,4614,5692,4427,1356,571,690,15606,6166,15606,16,894,320,105,173,22735,1473,812,2211,350,43067,15606,34.9
E07000040,East Devon,South West,84101,8359,15195,35143,8030,84101,7615,4981,6794,9873,3355,1484,678,1382,19757,10808,19757,26,540,1159,113,441,34839,2149,1177,5856,671,84101,19757,29.6
E07000085,East Hampshire,South East,64012,7267,11612,34697,8156,64012,5289,2717,5430,7311,4013,1943,1228,1071,23141,9591,23141,42,707,417,99,235,30391,1968,487,3710,534,64012,23141,37.5
E07000242,East Hertfordshire,East of England,73634,8653,13325,44328,10218,73634,6833,4480,6479,8345,3699,2774,1595,421,31278,10623,31278,322,3033,1012,232,211,32231,1821,600,5088,696,73634,31278,40.9
E07000137,East Lindsey,East Midlands,86719,6577,12738,28556,7706,86719,9354,3248,5070,6968,4471,2646,1856,1300,10993,9672,10993,20,83,615,162,235,33094,2317,1193,6224,641,86719,10993,19.8
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,186095,15938,32189,87911,20082,186095,17912,13051,17313,22337,10386,5925,4593,3450,38568,22586,38568,57,782,1936,388,697,89258,6390,4063,12269,1713,186095,38568,24.7
E07000193,East Staffordshire,East Midlands,64701,5484,10958,36028,6848,64701,9355,8494,5984,7604,3595,1567,1047,731,13235,7706,13235,26,223,748,960,286,32945,3384,1346,5615,550,64701,13235,22.3
E07000244,East Suffolk,Eastern,139694,13502,23342,56377,13144,139694,13979,11448,9105,13015,4367,3391,3432,2799,27774,17056,27774,70,512,1237,332,633,58764,3653,3663,8273,1454,139694,27774,26.1
E07000061,Eastbourne,South East,57855,5204,9699,24787,4141,57855,8250,9192,2009,2585,2047,861,491,764,10125,7507,10125,53,1195,1506,418,229,21483,1989,1047,5285,501,57855,10125,23.1
E07000086,Eastleigh,South East,66927,6892,13597,41562,7466,66927,6028,6547,10766,7069,1448,943,706,858,23893,11258,23893,41,853,829,189,421,35345,2351,1148,3829,617,66927,23893,34.4
E07000030,Eden,North West,27400,3418,5666,13443,4808,27400,3851,1402,2182,2921,1942,1192,713,576,7682,4875,7682,13,69,405,44,48,14504,962,236,3062,308,27400,7682,28.1
E07000207,Elmbridge,South East,71774,7819,11146,36120,11897,71774,4145,5395,5673,4922,2850,500,180,320,35983,7013,35983,289,2759,685,138,391,20448,1159,1431,3063,634,71774,35983,53.7
E09000010,Enfield,London,186120,17931,32888,79164,13881,186120,12252,17946,16531,20771,3068,1049,602,1073,44977,25595,44977,12557,7138,15289,819,788,46721,3146,2040,8213,2177,186120,44977,31.3
E07000072,Epping Forest,East of England,69184,7815,11819,37039,9123,69184,3745,3790,6665,9196,3885,1128,404,359,25171,11453,25171,4744,1538,853,467,297,27015,1723,403,2805,778,69184,25171,38.3
E07000208,Epsom and Ewell,South East,41029,4291,6929,23623,5066,41029,3385,4010,3867,3399,1479,242,152,170,17930,5275,17930,347,2144,849,169,352,13636,926,659,2537,362,41029,17930,44.9
E07000036,Erewash,East Midlands,57940,5066,10666,34065,5170,57940,6615,6097,9316,8664,1397,502,372,608,13607,7789,13607,109,241,2157,216,315,30285,2390,1215,3950,482,57940,13607,24.8
E07000041,Exeter,South West,71009,7394,12409,34634,5263,71009,11839,12314,3274,2390,1503,448,773,1101,18285,7773,18285,35,528,2838,208,472,22190,2176,2821,9603,543,71009,18285,30.6
E07000087,Fareham,South East,58882,5688,10652,33204,6087,58882,4823,6727,7411,6224,1303,407,543,827,19206,8160,19206,32,599,501,179,333,28382,1744,1200,2838,618,58882,19206,34.5
E07000010,Fenland,East of England,55357,4219,8570,28284,6035,55357,7230,4130,3695,6212,4581,1863,1050,960,9463,7921,9463,26,294,528,129,218,28166,2708,1457,3654,467,55357,9463,20.1
W06000005,Flintshire,Wales,81142,5865,13953,46993,7009,81142,6520,8775,11970,12964,4291,1639,1004,1310,16269,9081,16269,27,258,1674,356,365,45411,3769,1126,3996,571,81142,16269,22.0
E07000112,Folkestone and Hythe,South East,61939,5399,9761,27109,5549,61939,6157,4587,3275,5644,2947,739,924,1391,13770,8380,13770,40,932,1319,256,198,23922,1932,538,4360,552,61939,13770,28.8
E07000080,Forest of Dean,South West,47014,4698,8248,22316,4728,47014,3724,2433,3894,5778,3401,1296,598,614,11230,7020,11230,10,95,489,34,201,23378,1640,286,2285,341,47014,11230,28.1
E07000119,Fylde,North West,45658,4034,7041,20822,3818,45658,4000,3821,4912,4147,1053,586,533,517,11361,4786,11361,31,176,793,159,116,18312,1312,535,2498,423,45658,11361,31.8
E08000037,Gateshead,North East,108632,7400,18135,54932,7051,108632,9378,14840,15288,9377,1742,441,574,957,23427,11495,23427,1528,391,7201,774,233,40957,4249,1092,6677,990,108632,23427,26.8
E07000173,Gedling,East Midlands,61076,5149,11699,33903,5438,61076,4758,8124,9746,4600,1792,548,403,594,17220,8401,17220,67,173,3572,240,212,28293,1939,747,3229,495,61076,17220,30.6
E07000081,Gloucester,South West,66795,5956,13558,40563,5544,66795,10422,12041,7513,6400,1226,527,1212,878,15908,9492,15908,24,215,2786,194,418,34341,3161,2174,5909,491,66795,15908,24.2
E07000088,Gosport,South East,43468,3585,7635,23135,4131,43468,5381,6902,5920,2511,1104,253,324,725,8865,6499,8865,23,208,1128,223,486,20010,1575,2433,2876,656,43468,8865,23.0
E07000109,Gravesham,South East,57139,4871,9436,29262,6192,57139,4899,4749,5286,6081,2681,2254,684,535,13037,9556,13037,203,2655,1665,224,344,24799,2591,405,3264,574,57139,13037,26.2
E07000145,Great Yarmouth,East of England,58609,4801,9487,22422,4429,58609,6941,6238,3835,3411,2592,1744,1205,942,6813,7418,6813,20,124,1807,209,257,22863,2488,1276,4314,969,58609,6813,16.6
E09000011,Greenwich,London,146134,13717,24120,87019,18081,146134,9067,13805,17879,19159,2135,1090,618,1164,57959,20058,57959,13632,12376,15318,635,882,28623,2160,2688,7001,1660,146134,57959,40.5
E07000209,Guildford,South East,73876,8478,11683,39744,9869,73876,7096,6356,5615,5689,2319,1321,1259,591,30814,8714,30814,92,1617,1264,167,359,25794,1846,1187,5886,748,73876,30814,44.2
W06000002,Gwynedd,Wales,65575,5463,11557,28757,6040,65575,7194,3807,5649,6019,3147,1777,1603,1942,12259,8421,12259,24,198,1266,125,135,29336,2268,532,5292,385,65575,12259,23.7
E09000012,Hackney,London,124838,14022,25452,76457,18379,124838,13715,16334,15674,5068,843,319,370,724,66844,14420,66844,10239,4991,13995,962,672,11646,851,10011,12698,1401,124838,66844,49.8
E06000006,Halton,North West,69772,4613,11055,37863,5175,69772,7083,9500,8189,7133,2431,1118,329,605,14548,7770,14548,26,470,1916,492,232,31780,3231,1182,4296,534,69772,14548,24.8
E07000164,Hambleton,North East,47286,4721,8795,23371,6517,47286,5507,2039,3020,6197,3045,1802,1491,917,13303,6083,13303,18,171,188,82,97,22912,1349,640,4192,451,47286,13303,30.6
E09000013,Hammersmith and Fulham,London,85064,9497,13108,56608,18880,85064,9057,11105,12067,3567,553,230,213,511,51319,9471,51319,11578,2376,7504,595,994,7781,514,4915,9439,1078,85064,51319,52.3
E07000131,Harborough,East Midlands,48854,5206,9101,27964,6500,48854,4361,2408,4890,7269,3412,1154,803,788,17474,6212,17474,21,269,405,74,102,25108,1372,535,3057,354,48854,17474,35.8
E09000014,Haringey,London,129857,16523,26943,74963,15952,129857,8994,11812,21803,11498,1642,481,425,923,55767,21036,55767,21629,5273,15341,626,1107,18436,1457,5226,7920,1599,129857,55767,41.5
E07000073,Harlow,East of England,47347,4390,8493,28620,4478,47347,6444,8138,3505,4564,2928,1687,381,279,9631,8426,9631,753,979,1108,548,262,24427,2508,985,4245,535,47347,9631,20.9
E07000165,Harrogate,Yorkshire and The Humber,82982,8848,15522,44623,10692,82982,11092,8891,5610,8137,4021,1741,922,1210,28233,9828,28233,38,503,1383,222,237,36036,2684,1190,8490,669,82982,28233,35.4
E09000015,Harrow,London,136166,13761,22778,73682,14816,136166,8875,12883,13939,16161,3727,848,663,1140,45175,21626,45175,15605,4721,8673,516,590,37918,3223,915,6146,1555,136166,45175,36.1
E07000089,Hart,South East,48963,5296,8436,29759,6954,48963,3618,3261,5885,4723,1694,939,1139,501,22579,6106,22579,46,665,227,68,187,21942,1194,589,2535,413,48963,22579,44.8
E06000001,Hartlepool,North East,54589,3441,8521,22207,3580,54589,5891,7286,3159,5623,1779,575,363,711,6570,5792,6570,33,269,1241,639,73,22448,2276,561,3131,509,54589,6570,17.4
E07000062,Hastings,South East,50096,4740,9470,22762,3926,50096,6476,8006,2744,1450,1552,675,514,801,10943,7738,10943,44,1068,1170,651,294,18992,2184,536,4495,523,50096,10943,26.8
E07000090,Havant,South East,67840,5916,11992,32705,5755,67840,5906,7283,7894,6391,1521,687,623,875,14413,10775,14413,18,624,1555,408,406,31164,2827,1181,3215,557,67840,14413,25.6
E09000016,Havering,London,137271,12636,22574,76496,13075,137271,9023,12603,12030,13443,9816,1670,674,823,41654,23048,41654,8363,8721,6949,739,609,45890,3357,848,6101,1550,137271,41654,33.4
E06000019,Herefordshire,West Midlands,98523,9839,18783,47742,12147,98523,13123,10006,7757,9945,5139,1993,1608,2112,22618,14210,22618,31,271,555,248,404,47936,3640,2569,9391,846,98523,22618,25.6
E07000098,Hertsmere,East of England,55061,6468,9593,29693,7012,55061,4266,3947,5725,6330,2517,449,258,319,21051,7900,21051,1310,1999,1509,269,234,21164,1314,357,2974,585,55061,21051,39.9
E07000037,High Peak,East Midlands,46319,4701,9280,25786,4847,46319,6841,3637,4112,6135,2607,963,580,492,12973,6274,12973,31,756,612,181,123,23176,1536,376,4501,349,46319,12973,29.1
E09000017,Hillingdon,London,163104,14778,25736,87797,14492,163104,11426,17575,20004,15907,6492,1261,677,1193,45193,23077,45193,9362,3714,13357,670,772,55421,3711,1627,7226,1752,163104,45193,31.6
